Geshur,e499,Duet 3:14
Gether,edde,Gen 10:23
Gethsemane,e34a,Matt 26:36
Geuel,e1fb,Num 13:15
Gezer,e42f,Josh 10:33
Gibeath_Haaraloth,e430,Josh 5:3
Gibeon,e431,Josh 9:3
Gideon,ed03,Judg 6:11
Gideoni,e2bd,Num 1:11
Gihon,eddf,Gen 2:13
Gilead_land,efa1,Gen 31:21
Gilead_man,e3ab,Num 26:29
Gilgal,e432,Josh 5:9
Girgashites,ede1,Gen 10:16
Gittaim,e489,2 Sam 4:3
God,e036,Gen 1:1
Gog,ecf7,Ezek 38:2
Goiim,ede2,Gen 14:1
Golan,e468,Duet 4:43
Golgotha,e34b,Matt 27:33
Goliath,e462,1 Sam 21:9
Gomer,ede3,Gen 10:2
Gomorrah,ea7a,Gen 10:19
Goshen,efbf,Gen 47:1
Goyim,e44c,Josh 12:23
Greece,e345,Acts 20:3
Guni,efc1,Num 26:48
Hadad,efa2,Gen 25:15
Hadar,e1af,Gen 36:39
Hadoram,ede4,Gen 10:27
Hagar,ecab,Gen 16:1
Haggai,e48c,Ezra 5:1
Haggi,efc2,Gen 46:16
Ham_man,ede5,Gen 6:10
Ham_village,ede6,Gen 14:5
Haman,e4a0,Esth 3:1
Hamathites,ede7,Gen 10:18
Hammedatha,e47f,Esth 3:1
Hamor,eb5d,Gen 33:19
Hamul,efc3,Gen 46:12
Hannah,eb02,1 Sam 1:2
Hanniel,e3e5,Num 34:23
Hanok,ec5f,Gen 25:4
Haradah,e3de,Num 33:24
Haran_land,eb0b,Gen 11:31
Haran_man,efa4,Gen 11:27
Hashmonah,e3df,Num 33:29
Hathak,e4a1,Esth 4:5
Havilah_land,ede8,Gen 2:11
Havilah_man,effa,Gen 10:7
Hazael,e456,Amos 1:4
Hazar_Addar,e3ea,Num 34:4
Hazar_Enan,e3eb,Num 34:9
Hazarmaveth,ede9,Gen 10:26
Hazeroth,e2be,Num 11:35
Hazezon_Tamar,edea,Gen 14:7
Hazo,e1b0,Gen 22:22
Hazor,e441,Josh 12:19
heaven,e380,Gen 1:8
Heber,e1b1,Gen 46:17
Hebrew,ec8f,Gen 14:13
Hebron,edeb,Gen 13:18
Hegai_man,e41a,Esth 2:8
Helek,e3ac,Num 26:30
Heli,ec44,Luke 3:23
hell,e0d1,Deut 32:22
